state,district,nightlight,population,electricity,msme,atm,nightlight_norm,population_norm,electricity_norm,msme_norm,atm_norm,shadow_score,shadow_rank,cluster
gujarat,amreli,0.835677818107073,1514190.0,326.674103048287,866053.0,18000.0,0.009963526149097894,0.13362948221200813,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.2201707041087232,72.0,2
gujarat,bhavnagar,1.165581312108653,2880365.0,326.674103048287,866053.0,18000.0,0.014781596601792409,0.25762057269648436,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.2530957049109201,50.0,2
gujarat,gandhinagar,6.365329486018299,1391753.0,326.674103048287,866053.0,18000.0,0.0907212380232511,0.12251736469730627,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.24969575947970907,54.0,2
gujarat,jamnagar,1.8633652795638056,2160119.0,326.674103048287,866053.0,18000.0,0.024972371713569558,0.1922526022995132,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.24083002235638817,60.0,2
gujarat,kachchh,0.9880321404922432,2092371.0,326.674103048287,866053.0,18000.0,0.012188582483362628,0.1861039402334219,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.23417934114778255,65.0,2
gujarat,rajkot,1.917322774450827,3804558.0,326.674103048287,866053.0,18000.0,0.02576039310935183,0.3414983320524377,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.2784566633529322,43.0,2
gujarat,sabar kantha,1.0659566920678332,2428589.0,326.674103048287,866053.0,18000.0,0.013326630386195757,0.2166183592943106,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.24226316507413798,59.0,2
gujarat,surendranagar,1.0029535138024104,1756268.0,326.674103048287,866053.0,18000.0,0.012406501448049303,0.1555999583240004,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.22664051325630186,68.0,2
gujarat,vadodara,2.5328163812523687,4165626.0,326.674103048287,866053.0,18000.0,0.03474935992744404,0.37426808340863205,0.7314439153694599,0.43770537792571146,0.2916666666666667,0.29024468791921765,33.0,2
haryana,bhiwani,1.3238911747025517,1634445.0,148.42551928783382,216103.0,13000.0,0.01709363053050897,0.14454356612234953,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.11715140151030157,346.0,2
haryana,gurgaon,7.466567645190687,1514432.0,148.42551928783382,216103.0,13000.0,0.10680425360981162,0.13365144560900868,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.15031262061368741,227.0,2
haryana,jind,1.7122382796396023,1334152.0,148.42551928783382,216103.0,13000.0,0.02276523979111807,0.11728962242197821,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.11260655928945237,361.0,2
haryana,sirsa,1.321567934494374,1295189.0,148.42551928783382,216103.0,13000.0,0.017059700804982997,0.11375342474704883,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.109440294276266,373.0,2
haryana,faridabad,6.385950778540352,1809733.0,148.42551928783382,216103.0,13000.0,0.0910224013695126,0.16045232617786429,0.33067456777495835,0.10917651697234838,0.08333333333333331,0.1507000998597817,225.0,2
himachal pradesh,bilaspur,1.0099875311326192,381956.0,148.42551928783382,16955.0,18000.0,0.012509229644866332,0.030870371304839966,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.05096657094590351,458.0,2
himachal pradesh,chamba,0.3505038475165428,519080.0,148.42551928783382,16955.0,18000.0,0.002877810433375536,0.04331544919866274,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.05022527273476289,460.0,2
himachal pradesh,hamirpur,0.7067546438553026,454768.0,148.42551928783382,16955.0,18000.0,0.008080669653716045,0.03747863106684387,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.05084721188994437,459.0,2
himachal pradesh,kangra,0.6120396507053937,1510075.0,148.42551928783382,16955.0,18000.0,0.006697406007770683,0.13325601370515971,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.0742382520911452,436.0,2
himachal pradesh,kinnaur,0.293224534007703,84121.0,148.42551928783382,16955.0,18000.0,0.0020412755891394065,0.0038395103723503697,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.040021674090490345,473.0,1
himachal pradesh,kullu,0.3455471396571528,437903.0,148.42551928783382,16955.0,18000.0,0.0028054202704515534,0.0359480001147179,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.04835445439860708,462.0,2
himachal pradesh,lahul and spiti,0.2737169516702337,1703152.5,148.42551928783382,16955.0,18000.0,0.0017563774059658256,0.15077931033481293,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.07664266480783655,434.0,2
himachal pradesh,mandi,0.5440050858538952,999777.0,148.42551928783382,16955.0,18000.0,0.005703796262396589,0.0869424700580814,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.06226242228122597,443.0,2
himachal pradesh,shimla,0.4943906568902502,814010.0,148.42551928783382,16955.0,18000.0,0.0049792031054174644,0.07008265860930675,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.05775763215624066,447.0,2
himachal pradesh,sirmaur,0.679967689549015,529855.0,148.42551928783382,16955.0,18000.0,0.007689459995717745,0.04429336491222083,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.05239441148808929,456.0,2
himachal pradesh,solan,1.81554586449132,580320.0,148.42551928783382,16955.0,18000.0,0.024273993809076147,0.04887345924954884,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.060173248597764656,446.0,2
himachal pradesh,una,1.0686902261552282,521173.0,148.42551928783382,16955.0,18000.0,0.013366552242306345,0.04350540535536595,0.33067456777495835,0.008513595822813283,0.2916666666666667,0.05446825849751101,452.0,2
manipur,bishnupur,0.9998382300760694,237399.0,2.365578635014837,37200.0,18000.0,0.012361004335267673,0.017750690394880093,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.016517112458027398,541.0,1
manipur,chandel,0.3274286461892936,144182.0,2.365578635014837,37200.0,18000.0,0.0025408090140930117,0.009290516931237868,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.022560233952407818,551.0,1
manipur,churachandpur,0.3326983208232436,274143.0,2.365578635014837,37200.0,18000.0,0.0026177698954137365,0.021085496425411757,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.019580704726336058,547.0,1
manipur,senapati,0.412015040730938,479148.0,2.365578635014837,37200.0,18000.0,0.003776149699024058,0.03969130717789226,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.014465900116771803,540.0,1
manipur,tamenglong,0.2781432692805908,140651.0,2.365578635014837,37200.0,18000.0,0.0018210214927380651,0.008970051002275117,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.022928265443190488,552.0,1
manipur,thoubal,1.2130272227715868,422168.0,2.365578635014837,37200.0,18000.0,0.015474519666939367,0.034519925520487126,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.01107939754395696,538.0,1
manipur,ukhrul,0.2915464309535816,183998.0,2.365578635014837,37200.0,18000.0,0.0020167677591568602,0.01290413104270229,0.002277304300549096,0.01874679343801574,0.2916666666666667,-0.021866446926516174,549.0,1
meghalaya,east garo hills,0.5625264568602288,317917.0,5.307663146493366,2415.0,18000.0,0.00597429133750659,0.025058330063025873,0.008892208415679214,0.0011640925713910224,0.2916666666666667,-0.01855931204706307,545.0,1
