state,district,population
9,meerut,1684507
9,meerut,1759182
9,baghpat,1303048
9,baghpat,1028023
9,baghpat,275025
9,ghaziabad,4681645
9,ghaziabad,1519098
9,ghaziabad,3162547
9,gautam buddha nagar,1648115
9,gautam buddha nagar,673806
9,gautam buddha nagar,974309
9,bulandshahr,3499171
9,bulandshahr,2631742
9,bulandshahr,867429
9,aligarh,3673889
9,aligarh,2456698
9,aligarh,1217191
9,mahamaya nagar,1564708
9,mahamaya nagar,1232015
9,mahamaya nagar,332693
9,mathura,2547184
9,mathura,1791191
9,mathura,755993
9,agra,4418797
9,agra,2394602
9,agra,2024195
9,firozabad,2498156
9,firozabad,1664987
9,firozabad,833169
9,mainpuri,1868529
9,mainpuri,1580087
9,mainpuri,288442
9,budaun,3681896
9,budaun,3037301
9,budaun,644595
9,bareilly,4448359
9,bareilly,2879950
9,bareilly,1568409
9,pilibhit,2031007
9,pilibhit,1679592
9,pilibhit,351415
9,shahjahanpur,3006538
9,shahjahanpur,2412446
9,shahjahanpur,594092
9,kheri,4021243
9,kheri,3560208
9,kheri,461035
9,sitapur,4483992
9,sitapur,3953208
9,sitapur,530784
9,hardoi,4092845
9,hardoi,3551039
9,hardoi,541806
9,unnao,3108367
9,unnao,2576721
9,unnao,531646
9,lucknow,4589838
9,lucknow,1550842
9,lucknow,3038996
9,rae bareli,3405559
9,rae bareli,3097564
9,rae bareli,307995
9,farrukhabad,1885204
9,farrukhabad,1469019
9,farrukhabad,416185
9,kannauj,1656616
9,kannauj,1375775
9,kannauj,280841
9,etawah,1581810
9,etawah,1215511
9,etawah,366299
9,auraiya,1379545
9,auraiya,1145323
9,auraiya,234222
9,kanpur dehat,1796184
9,kanpur dehat,1622761
9,kanpur dehat,173423
9,kanpur nagar,4581268
9,kanpur nagar,1565623
9,kanpur nagar,3015645
9,jalaun,1689974
9,jalaun,1271074
9,jalaun,418900
9,jhansi,1998603
9,jhansi,1165119
9,jhansi,833484
9,lalitpur,1221592
9,lalitpur,1046214
9,lalitpur,175378
9,hamirpur,1104285
9,hamirpur,894437
9,hamirpur,209848
9,mahoba,875958
9,mahoba,690577
9,mahoba,185381
9,banda,1799410
9,banda,1523655
9,banda,275755
9,chitrakoot,991730
9,chitrakoot,895398
9,chitrakoot,96332
9,fatehpur,2632733
9,fatehpur,2310740
9,fatehpur,321993
9,pratapgarh,3209141
9,pratapgarh,3033899
9,pratapgarh,175242
9,kaushambi,1599596
9,kaushambi,1475140
9,kaushambi,124456
9,allahabad,5954391
9,allahabad,4481518
9,allahabad,1472873
9,bara banki,3260699
9,bara banki,2929896
9,bara banki,330803
9,faizabad,2470996
9,faizabad,2130743
9,faizabad,340253
9,ambedkar nagar,2397888
9,ambedkar nagar,2117158
9,ambedkar nagar,280730
9,sultanpur,3797117
9,sultanpur,3597201
9,sultanpur,199916
9,bahraich,3487731
9,bahraich,3203687
9,bahraich,284044
9,shrawasti,1117361
9,shrawasti,1078712
9,shrawasti,38649
9,balrampur,2148665
9,balrampur,1982274
9,balrampur,166391
9,gonda,3433919
9,gonda,3208890
9,gonda,225029
9,siddharthnagar,2559297
9,siddharthnagar,2398606
9,siddharthnagar,160691
9,basti,2464464
9,basti,2326367
9,basti,138097
9,sant kabir nagar,1715183
9,sant kabir nagar,1586652
9,sant kabir nagar,128531
9,mahrajganj,2684703
9,mahrajganj,2549973
9,mahrajganj,134730
9,gorakhpur,4440895
9,gorakhpur,3604766
9,gorakhpur,836129
9,kushinagar,3564544
9,kushinagar,3396437
9,kushinagar,168107
9,deoria,3100946
9,deoria,2784143
9,deoria,316803
9,azamgarh,4613913
9,azamgarh,4220512
9,azamgarh,393401
9,mau,2205968
9,mau,1706760
9,mau,499208
9,ballia,3239774
9,ballia,2935665
9,ballia,304109
9,jaunpur,4494204
9,jaunpur,4147624
9,jaunpur,346580
9,ghazipur,3620268
9,ghazipur,3345908
9,ghazipur,274360
9,chandauli,1952756
9,chandauli,1710203
9,chandauli,242553
9,varanasi,3676841
9,varanasi,2079790
9,varanasi,1597051
9,sant ravidas nagar (bhadohi),1578213
9,sant ravidas nagar (bhadohi),1348911
9,sant ravidas nagar (bhadohi),229302
9,mirzapur,2496970
9,mirzapur,2149403
9,mirzapur,347567
9,sonbhadra,1862559
9,sonbhadra,1548217
9,sonbhadra,314342
9,etah,1774480
9,etah,1506338
9,etah,268142
9,kanshiram nagar,1436719
9,kanshiram nagar,1148512
9,kanshiram nagar,288207
10,bihar,104099452
10,bihar,92341436
10,bihar,11758016
10,pashchim champaran,3935042
10,pashchim champaran,3541877
10,pashchim champaran,393165
10,purba champaran,5099371
10,purba champaran,4698028
10,purba champaran,401343
10,sheohar,656246
10,sheohar,628130
10,sheohar,28116
10,sitamarhi,3423574
10,sitamarhi,3233076
10,sitamarhi,190498
10,madhubani,4487379
10,madhubani,4325884
10,madhubani,161495
10,supaul,2229076
10,supaul,2123518
10,supaul,105558
10,araria,2811569
10,araria,2642792
10,araria,168777
10,kishanganj,1690400
10,kishanganj,1529277
10,kishanganj,161123
10,purnia,3264619
10,purnia,2921614
10,purnia,343005
10,katihar,3071029
10,katihar,2797207
10,katihar,273822
10,madhepura,2001762
10,madhepura,1913301
10,madhepura,88461
10,saharsa,1900661
10,saharsa,1744121
10,saharsa,156540
10,darbhanga,3937385
10,darbhanga,3554057
10,darbhanga,383328
10,muzaffarpur,4801062
10,muzaffarpur,4327625
10,muzaffarpur,473437
10,gopalganj,2562012
10,gopalganj,2399207
10,gopalganj,162805
10,siwan,3330464
10,siwan,3147551
10,siwan,182913
10,saran,3951862
10,saran,3598660
10,saran,353202
10,vaishali,3495021
10,vaishali,3261942
10,vaishali,233079
10,samastipur,4261566
10,samastipur,4113769
10,samastipur,147797
10,begusarai,2970541
10,begusarai,2400718
10,begusarai,569823
10,khagaria,1666886
10,khagaria,1579727
10,khagaria,87159
10,bhagalpur,3037766
10,bhagalpur,2435234
10,bhagalpur,602532
10,banka,2034763
10,banka,1963450
10,banka,71313
10,munger,1367765
10,munger,987645
10,munger,380120
10,lakhisarai,1000912
10,lakhisarai,857901
10,lakhisarai,143011
10,sheikhpura,636342
10,sheikhpura,527340
10,sheikhpura,109002
10,nalanda,2877653
10,nalanda,2419759
10,nalanda,457894
10,patna,5838465
10,patna,3323875
10,patna,2514590
10,bhojpur,2728407
10,bhojpur,2338546
10,bhojpur,389861
10,buxar,1706352
10,buxar,1541853
10,buxar,164499
10,kaimur (bhabua),1626384
10,kaimur (bhabua),1560813
10,kaimur (bhabua),65571
10,rohtas,2959918
10,rohtas,2532153
10,rohtas,427765
10,aurangabad,2540073
10,aurangabad,2303219
10,aurangabad,236854
10,gaya,4391418
10,gaya,3809817
10,gaya,581601
10,nawada,2219146
10,nawada,2003567
10,nawada,215579
10,jamui,1760405
10,jamui,1615072
10,jamui,145333
10,jehanabad,1125313
10,jehanabad,990117
10,jehanabad,135196
10,arwal,700843
10,arwal,648994
10,arwal,51849
11,sikkim,610577
11,sikkim,456999
11,sikkim,153578
11,north  district,43709
11,north  district,39065
11,north  district,4644
11,west district,136435
11,west district,131187
11,west district,5248
11,south district,146850
11,south district,125651
11,south district,21199
11,east district,283583
11,east district,161096
11,east district,122487
12,arunachal pradesh,1383727
12,arunachal pradesh,1066358
12,arunachal pradesh,317369
12,tawang,49977
12,tawang,38775
12,tawang,11202
12,west kameng,83947
12,west kameng,68015
12,west kameng,15932
12,east kameng,78690
12,east kameng,60340
12,east kameng,18350
12,papum pare,176573
12,papum pare,79610
12,papum pare,96963
12,upper subansiri,83448
12,upper subansiri,70043
12,upper subansiri,13405
12,west siang,112274
12,west siang,87306
12,west siang,24968
12,east siang,99214
12,east siang,71579
12,east siang,27635
12,upper siang,35320
12,upper siang,28780
12,upper siang,6540
12,changlang,148226
12,changlang,128998
12,changlang,19228
12,tirap,111975
12,tirap,91165
12,tirap,20810
12,lower subansiri,83030
12,lower subansiri,70224
12,lower subansiri,12806
12,kurung kumey,92076
12,kurung kumey,89731
12,kurung kumey,2345
12,dibang valley,8004
12,dibang valley,5620
12,dibang valley,2384
12,lower dibang valley,54080
12,lower dibang valley,42691
12,lower dibang valley,11389
12,lohit,145726
12,lohit,113296
12,lohit,32430
12,anjaw,21167
12,anjaw,20185
12,anjaw,982
13,nagaland,1978502
13,nagaland,1407536
13,nagaland,570966
13,mon,250260
13,mon,215816
13,mon,34444
13,mokokchung,194622
13,mokokchung,138897
13,mokokchung,55725
13,zunheboto,140757
13,zunheboto,113160
13,zunheboto,27597
13,wokha,166343
13,wokha,131339
13,wokha,35004
13,dimapur,378811
13,dimapur,180942
13,dimapur,197869
13,phek,163418
13,phek,138843
13,phek,24575
13,tuensang,196596
13,tuensang,159822
13,tuensang,36774
13,longleng,50484
13,longleng,42871
13,longleng,7613
13,kiphire,74004
13,kiphire,57517
13,kiphire,16487
13,kohima,267988
13,kohima,146900
13,kohima,121088
13,peren,95219
13,peren,81429
13,peren,13790
14,manipur,2855794
14,manipur,2021640
14,manipur,834154
14,senapati,479148
14,senapati,471672
14,senapati,7476
14,tamenglong,140651
14,tamenglong,121288
14,tamenglong,19363
14,churachandpur,274143
14,churachandpur,255786
14,churachandpur,18357
14,bishnupur,237399
14,bishnupur,149894
14,bishnupur,87505
14,thoubal,422168
14,thoubal,270835
14,thoubal,151333
14,imphal west,517992
14,imphal west,195113
14,imphal west,322879
14,imphal east,456113
14,imphal east,272906
14,imphal east,183207
14,ukhrul,183998
14,ukhrul,156811
14,ukhrul,27187
14,chandel,144182
14,chandel,127335
14,chandel,16847
15,mizoram,1097206
15,mizoram,525435
15,mizoram,571771
15,mamit,86364
15,mamit,71465
15,mamit,14899
15,kolasib,83955
15,kolasib,37077
15,kolasib,46878
15,aizawl,400309
15,aizawl,85555
15,aizawl,314754
15,champhai,125745
15,champhai,77216
15,champhai,48529
15,serchhip,64937
15,serchhip,32918
15,serchhip,32019
15,lunglei,161428
15,lunglei,92676
15,lunglei,68752
15,lawngtlai,117894
15,lawngtlai,97064
15,lawngtlai,20830
15,saiha,56574
15,saiha,31464
15,saiha,25110
16,tripura,3673917
16,tripura,2712464
16,tripura,961453
16,west tripura,1725739
16,west tripura,1048101
16,west tripura,677638
16,south tripura,876001
16,south tripura,752970
16,south tripura,123031
16,dhalai,378230
16,dhalai,337731
16,dhalai,40499
16,north tripura,693947
16,north tripura,573662
16,north tripura,120285
17,meghalaya,2966889
17,meghalaya,2371439
17,meghalaya,595450
17,west garo hills,643291
17,west garo hills,568433
17,west garo hills,74858
17,east garo hills,317917
17,east garo hills,273725
17,east garo hills,44192
17,south garo hills,142334
17,south garo hills,129203
17,south garo hills,13131
17,west khasi hills,383461
17,west khasi hills,340356
17,west khasi hills,43105
17,ribhoi,258840
17,ribhoi,233587
17,ribhoi,25253
17,east khasi hills,825922
17,east khasi hills,459441
17,east khasi hills,366481
17,jaintia hills,395124
17,jaintia hills,366694
17,jaintia hills,28430
18,assam,31205576
18,assam,26807034
18,assam,4398542
18,kokrajhar,887142
18,kokrajhar,832201
18,kokrajhar,54941
18,dhubri,1949258
18,dhubri,1745557
18,dhubri,203701
18,goalpara,1008183
18,goalpara,870121
18,goalpara,138062
18,barpeta,1693622
18,barpeta,1546269
18,barpeta,147353
18,morigaon,957423
18,morigaon,884125
18,morigaon,73298
18,nagaon,2823768
18,nagaon,2454234
18,nagaon,369534
18,sonitpur,1924110
18,sonitpur,1750265
18,sonitpur,173845
18,lakhimpur,1042137
18,lakhimpur,950804
18,lakhimpur,91333
18,dhemaji,686133
18,dhemaji,637848
18,dhemaji,48285
18,tinsukia,1327929
18,tinsukia,1063186
18,tinsukia,264743
18,dibrugarh,1326335
18,dibrugarh,1082605
18,dibrugarh,243730
18,sivasagar,1151050
18,sivasagar,1040954
18,sivasagar,110096
18,jorhat,1092256
18,jorhat,871722
18,jorhat,220534
18,golaghat,1066888
18,golaghat,969152
18,golaghat,97736
18,karbi anglong,956313
18,karbi anglong,843347
18,karbi anglong,112966
18,dima hasao,214102
18,dima hasao,151613
18,dima hasao,62489
18,cachar,1736617
18,cachar,1421153
18,cachar,315464
18,karimganj,1228686
18,karimganj,1118986
18,karimganj,109700
18,hailakandi,659296
18,hailakandi,611156
18,hailakandi,48140
18,bongaigaon,738804
18,bongaigaon,628994
18,bongaigaon,109810
18,chirang,482162
18,chirang,446825
18,chirang,35337
18,kamrup,1517542
18,kamrup,1375148
18,kamrup,142394
18,kamrup metropolitan,1253938
18,kamrup metropolitan,216927
18,kamrup metropolitan,1037011
18,nalbari,771639
18,nalbari,688909
18,nalbari,82730
18,baksa,950075
18,baksa,937833
18,baksa,12242
18,darrang,928500
18,darrang,873006
18,darrang,55494
18,udalguri,831668
18,udalguri,794094
18,udalguri,37574
19,west bengal,91276115
19,west bengal,62183113
19,west bengal,29093002
19,darjiling,1846823
19,darjiling,1118860
19,darjiling,727963
19,jalpaiguri,3872846
19,jalpaiguri,2812495
19,jalpaiguri,1060351
19,koch bihar,2819086
19,koch bihar,2529652
19,koch bihar,289434
19,uttar dinajpur,3007134
19,uttar dinajpur,2644906
19,uttar dinajpur,362228
19,dakshin dinajpur,1676276
19,dakshin dinajpur,1439981
19,dakshin dinajpur,236295
19,maldah,3988845
19,maldah,3447185
19,maldah,541660
19,murshidabad,7103807
19,murshidabad,5703115
19,murshidabad,1400692
19,birbhum,3502404
19,birbhum,3052956
19,birbhum,449448
19,barddhaman,7717563
19,barddhaman,4639264
19,barddhaman,3078299
19,nadia,5167600
19,nadia,3728727
19,nadia,1438873
19,north twenty four parganas,10009781
19,north twenty four parganas,4277619
19,north twenty four parganas,5732162
19,hugli,5519145
19,hugli,3390646
19,hugli,2128499
19,bankura,3596674
19,bankura,3296901
19,bankura,299773
19,puruliya,2930115
19,puruliya,2556801
19,puruliya,373314
19,haora,4850029
19,haora,1775885
19,haora,3074144
19,kolkata,4496694
19,kolkata,0
19,kolkata,4496694
19,south twenty four parganas,8161961
19,south twenty four parganas,6074188
19,south twenty four parganas,2087773
19,paschim medinipur,5913457
19,paschim medinipur,5190771
19,paschim medinipur,722686
19,purba medinipur,5095875
19,purba medinipur,4503161
19,purba medinipur,592714
20,jharkhand,32988134
20,jharkhand,25055073
20,jharkhand,7933061
20,garhwa,1322784
20,garhwa,1253114
20,garhwa,69670
20,chatra,1042886
20,chatra,979932
20,chatra,62954
20,kodarma,716259
20,kodarma,575013
20,kodarma,141246
20,giridih,2445474
20,giridih,2237450
20,giridih,208024
20,deoghar,1492073
20,deoghar,1233712
20,deoghar,258361
20,godda,1313551
20,godda,1249132
20,godda,64419
20,sahibganj,1150567
20,sahibganj,990901
20,sahibganj,159666
20,pakur,900422
20,pakur,832910
20,pakur,67512
20,dhanbad,2684487
20,dhanbad,1124093
20,dhanbad,1560394
20,bokaro,2062330
20,bokaro,1078686
20,bokaro,983644
20,lohardaga,461790
20,lohardaga,404379
20,lohardaga,57411
20,purbi singhbhum,2293919
20,purbi singhbhum,1019328
20,purbi singhbhum,1274591
20,palamu,1939869
20,palamu,1713866
20,palamu,226003
20,latehar,726978
20,latehar,675120
20,latehar,51858
20,hazaribagh,1734495
20,hazaribagh,1459188
20,hazaribagh,275307
20,ramgarh,949443
20,ramgarh,530488
20,ramgarh,418955
20,dumka,1321442
20,dumka,1231264
20,dumka,90178
20,jamtara,791042
20,jamtara,715296
20,jamtara,75746
20,ranchi,2914253
20,ranchi,1656918
20,ranchi,1257335
20,khunti,531885
20,khunti,486903
20,khunti,44982
20,gumla,1025213
20,gumla,960132
20,gumla,65081
20,simdega,599578
20,simdega,556634
20,simdega,42944
20,pashchimi singhbhum,1502338
20,pashchimi singhbhum,1284304
20,pashchimi singhbhum,218034
20,saraikela-kharsawan,1065056
20,saraikela-kharsawan,806310
20,saraikela-kharsawan,258746
21,odisha,41974218
21,odisha,34970562
21,odisha,7003656
21,bargarh,1481255
21,bargarh,1331145
21,bargarh,150110
21,jharsuguda,579505
21,jharsuguda,348340
21,jharsuguda,231165
21,sambalpur,1041099
21,sambalpur,733006
21,sambalpur,308093
21,debagarh,312520
21,debagarh,290130
21,debagarh,22390
21,sundargarh,2093437
21,sundargarh,1355340
21,sundargarh,738097
21,kendujhar,1801733
21,kendujhar,1548674
21,kendujhar,253059
21,mayurbhanj,2519738
21,mayurbhanj,2326842
21,mayurbhanj,192896
21,baleshwar,2320529
