state,district,population
27,osmanabad,1657576
27,solapur,4317756
27,satara,3003741
27,ratnagiri,1615069
27,sindhudurg,849651
27,kolhapur,3876001
27,sangli,2822143
28,andhra pradesh,84580777
28,adilabad,2741239
28,nizamabad,2551335
28,karimnagar,3776269
28,medak,3033288
28,hyderabad,3943323
28,rangareddy,5296741
28,mahbubnagar,4053028
28,nalgonda,3488809
28,warangal,3512576
28,khammam,2797370
28,srikakulam,2703114
28,vizianagaram,2344474
28,visakhapatnam,4290589
28,east godavari,5154296
28,west godavari,3936966
28,krishna,4517398
28,guntur,4887813
28,prakasam,3397448
28,sri potti sriramulu nellore,2963557
28,y.s.r.,2882469
28,kurnool,4053463
28,anantapur,4081148
28,chittoor,4174064
29,karnataka,61095297
29,belgaum,4779661
29,bagalkot,1889752
29,bidar,1703300
29,raichur,1928812
29,koppal,1389920
29,gadag,1064570
29,dharwad,1847023
29,uttara kannada,1437169
29,haveri,1597668
29,bellary,2452595
29,chitradurga,1659456
29,davanagere,1945497
29,shimoga,1752753
29,udupi,1177361
29,chikmagalur,1137961
29,tumkur,2678980
29,bangalore,9621551
29,mandya,1805769
29,hassan,1776421
29,dakshina kannada,2089649
29,kodagu,554519
29,mysore,3001127
29,chamarajanagar,1020791
29,gulbarga,2566326
29,yadgir,1174271
29,kolar,1536401
29,chikkaballapura,1255104
29,bangalore rural,990923
29,ramanagara,1082636
30,goa,1458545
30,north goa,818008
30,south goa,640537
31,lakshadweep,64473
32,kerala,33406061
32,kasaragod,1307375
32,kannur,2523003
32,wayanad,817420
32,kozhikode,3086293
32,malappuram,4112920
32,palakkad,2809934
32,thrissur,3121200
32,ernakulam,3282388
32,idukki,1108974
32,kottayam,1974551
32,alappuzha,2127789
32,pathanamthitta,1197412
32,kollam,2635375
32,thiruvananthapuram,3301427
33,tamil nadu,72147030
33,thiruvallur,3728104
33,chennai,4646732
33,kancheepuram,3998252
33,vellore,3936331
33,tiruvannamalai,2464875
33,viluppuram,3458873
33,salem,3482056
33,namakkal,1726601
33,erode,2251744
33,the nilgiris,735394
33,dindigul,2159775
33,karur,1064493
33,tiruchirappalli,2722290
33,perambalur,565223
33,ariyalur,754894
33,cuddalore,2605914
33,nagapattinam,1616450
33,thiruvarur,1264277
33,thanjavur,2405890
33,pudukkottai,1618345
33,sivaganga,1339101
33,madurai,3038252
33,theni,1245899
33,virudhunagar,1942288
33,ramanathapuram,1353445
33,thoothukkudi,1750176
33,tirunelveli,3077233
33,kanniyakumari,1870374
33,dharmapuri,1506843
33,krishnagiri,1879809
33,coimbatore,3458045
33,tiruppur,2479052
34,puducherry,1247953
34,yanam,55626
34,mahe,41816
34,karaikal,200222
35,andaman & nicobar islands,380581
35,nicobars,36842
35,north  & middle andaman,105597
35,south andaman,238142
