state,district,nightlight
himachal pradesh,lahul and spiti,0.2737169516702337
himachal pradesh,mandi,0.5440050858538952
himachal pradesh,shimla,0.4943906568902502
himachal pradesh,sirmaur,0.679967689549015
himachal pradesh,solan,1.81554586449132
himachal pradesh,una,1.0686902261552282
manipur,bishnupur,0.9998382300760694
manipur,chandel,0.3274286461892936
manipur,churachandpur,0.3326983208232436
manipur,senapati,0.412015040730938
manipur,tamenglong,0.2781432692805908
manipur,thoubal,1.2130272227715868
manipur,ukhrul,0.2915464309535816
meghalaya,east garo hills,0.5625264568602288
meghalaya,jaintia hills,0.5189923352409939
meghalaya,west khasi hills,0.3271145009926723
mizoram,lawngtlai,0.2758107489506579
nagaland,mokokchung,0.3929382315189916
nagaland,mon,0.3189510812490336
nagaland,phek,0.2984109045849621
nagaland,tuensang,0.3015975909102558
nagaland,wokha,0.415313828957249
nagaland,zunheboto,0.3781492459884193
orissa,sundargarh,1.264918701369616
punjab,amritsar,3.2981689723718715
punjab,firozpur,1.8836035032707064
punjab,gurdaspur,1.9238721282007376
punjab,jalandhar,3.5930260228785977
punjab,kapurthala,2.2219662779512084
punjab,ludhiana,4.12758650782155
punjab,sangrur,1.8655752358911493
rajasthan,ajmer,1.478716869981422
rajasthan,alwar,1.8195810524563123
rajasthan,banswara,0.8962356523680213
rajasthan,barmer,0.591581070086406
rajasthan,bhilwara,1.0930228688463384
rajasthan,bikaner,0.620233962624445
rajasthan,bundi,0.9044229113486778
rajasthan,chittaurgarh,1.1213297561711042
rajasthan,churu,0.6085155954533346
rajasthan,dungarpur,0.8776920300118708
rajasthan,jaisalmer,0.4069318973856182
rajasthan,jalor,0.5738993575714479
rajasthan,jhalawar,0.963195266531241
rajasthan,jhunjhunun,1.1693592034034586
rajasthan,jodhpur,1.1160715213773489
rajasthan,nagaur,0.8038966946814271
rajasthan,pali,0.8751623528847502
rajasthan,sikar,1.18841925868121
rajasthan,sirohi,0.9689661982675796
rajasthan,tonk,0.7117126608897966
sikkim,east,0.6675749538572853
sikkim,north sikkim,0.2316194029578596
sikkim,south sikkim,0.7042964048803974
sikkim,west sikkim,0.2983967788930234
tripura,west tripura,1.661254165815851
west bengal,bankura,0.9899256931734316
west bengal,barddhaman,3.054022504685049
west bengal,birbhum,1.6071344941366963
west bengal,darjiling,1.1496315962965762
west bengal,haora,5.532316093924068
west bengal,hugli,2.8723238919205496
west bengal,jalpaiguri,1.1426182626511094
west bengal,kochbihar,1.0358251279163808
west bengal,maldah,1.3467604297345073
west bengal,murshidabad,1.5429142015907935
west bengal,nadia,1.8400730837487267
west bengal,puruliya,0.846871100174008
west bengal,kolkata,68.62557319619468
west bengal,north 24 parganas,2.980338141582834
west bengal,south 24 parganas,3.024990201251752
arunachal pradesh,east siang,0.2683241321155883
arunachal pradesh,lohit,0.2517783342789282
arunachal pradesh,lower subansiri,1.522219681370074
arunachal pradesh,tirap,0.2799404172778048
arunachal pradesh,west siang,0.2829246318473222
arunachal pradesh,changlang,0.4326151561828861
arunachal pradesh,lower dibang valley,0.2448532123422228
arunachal pradesh,papum pare,0.585032857516027
bihar,aurangabad,1.974596297232594
bihar,begusarai,3.2922302956303984
bihar,darbhanga,2.242130616723338
bihar,gaya,2.087087871288214
bihar,gopalganj,2.0396058978459832
bihar,jehanabad,2.8156123496668277
bihar,katihar,1.2763831628489206
bihar,khagaria,1.3047190831435267
bihar,madhubani,1.833333879469038
bihar,madhepura,1.8537443675363416
bihar,muzaffarpur,2.723400220451784
bihar,nalanda,2.622124399212755
bihar,nawada,1.677885576550343
bihar,pashchim champaran,0.982189344997591
bihar,patna,5.267276565116706
bihar,purba champaran,1.9504861406099097
bihar,purnia,1.5537699036439525
bihar,samastipur,2.1012133596604827
bihar,saran,2.3556589847875675
bihar,siwan,1.824335052471755
bihar,vaishali,3.0254970282209883
bihar,araria,1.2876986874979752
bihar,kishanganj,1.0762447645493955
chandigarh,chandigarh,30.36169174512325
chhattisgarh,raigarh,1.4396430122572974
jharkhand,deoghar,1.8957147874146203
jharkhand,godda,1.403687759087199
jharkhand,lohardaga,0.778728853728766
jharkhand,ranchi,1.7962311648194582
jharkhand,dhanbad,4.431614121272065
madhya pradesh,balaghat,0.5389711919193726
madhya pradesh,betul,0.5677205838050057
madhya pradesh,bhind,1.1979406773046355
madhya pradesh,bhopal,4.325564765567575
madhya pradesh,chhatarpur,0.9729022542772668
madhya pradesh,chhindwara,0.6425628791655495
madhya pradesh,damoh,0.7621189439652915
madhya pradesh,datia,1.2871988728011887
madhya pradesh,dewas,1.0642356499741594
madhya pradesh,dhar,1.1653507529627989
madhya pradesh,gwalior,2.1954914316557383
madhya pradesh,indore,4.360202186241193
madhya pradesh,jhabua,0.8721550888103726
madhya pradesh,narsinghpur,1.0532196423144564
madhya pradesh,panna,0.6414737173013154
madhya pradesh,raisen,1.0118315700823832
madhya pradesh,ratlam,1.2127546291116635
madhya pradesh,rewa,1.4005965496169652
madhya pradesh,sagar,1.0701889182979696
madhya pradesh,satna,1.353259075902952
madhya pradesh,sehore,1.0363437624474523
madhya pradesh,seoni,0.6054659343076415
madhya pradesh,shajapur,0.884417130051322
madhya pradesh,shivpuri,0.7621821719276827
madhya pradesh,sidhi,1.2751189061224526
madhya pradesh,tikamgarh,1.1711236289472764
madhya pradesh,ujjain,1.4873529329793498
madhya pradesh,vidisha,0.8954557815813422
uttar pradesh,agra,2.8636464891130604
uttar pradesh,azamgarh,2.132696088296819
uttar pradesh,ballia,2.3381741981784727
uttar pradesh,bara banki,1.5072536787075694
uttar pradesh,bareilly,2.4495461132413285
uttar pradesh,bijnor,1.3249395032524705
uttar pradesh,etah,1.174046083681355
uttar pradesh,fatehpur,1.2324050721353064
uttar pradesh,ghaziabad,7.436481104055134
uttar pradesh,ghazipur,2.043681669947661
uttar pradesh,hardoi,0.9673538196535392
uttar pradesh,jalaun,0.948844945648058
uttar pradesh,jaunpur,2.170815545008008
uttar pradesh,jhansi,1.6168508310103935
uttar pradesh,kanpur,10.317937878238707
uttar pradesh,lakhimpur kheri,0.9279739781525288
uttar pradesh,lalitpur,0.7088625963848013
uttar pradesh,lucknow,9.066617245112308
uttar pradesh,mainpuri,1.564279649605068
uttar pradesh,mirzapur,1.6238098095973967
uttar pradesh,muzaffarnagar,2.0970098839268108
uttar pradesh,pilibhit,0.8813832945448357
uttar pradesh,pratapgarh,1.579616261544844
uttar pradesh,rae bareli,1.468578152734549
uttar pradesh,rampur,1.8493241892505776
uttar pradesh,saharanpur,2.28670044911246
uttar pradesh,shahjahanpur,1.3067633844089228
uttar pradesh,sitapur,1.1317716555415405
uttar pradesh,sultanpur,1.7556085583149206
uttar pradesh,unnao,1.2558826443648463
uttar pradesh,badaun,1.146621946602046
uttar pradesh,firozabad,2.6015421800194227
uttar pradesh,kanpur dehat,1.386140455058665
uttar pradesh,mau,2.7044200647071737
uttar pradesh,siddharth nagar,1.1056596522007889
uttar pradesh,sonbhadra,1.235596454615408
uttarakhand,dehra dun,2.858382266858118
uttarakhand,pauri garhwal,0.7372521845572723
uttarakhand,haridwar,3.3994386230922045
uttarakhand,tehri garhwal,0.6206858156260889
uttarakhand,uttarkashi,0.3366149988013366
andhra pradesh,adilabad,0.900467059662123
andhra pradesh,anantapur,0.7775654959786293
andhra pradesh,chittoor,1.1680657924387388
andhra pradesh,cuddapah,0.7201904802752903
andhra pradesh,east godavari,1.3054472609158532
andhra pradesh,guntur,1.368053606200393
andhra pradesh,hyderabad,65.24874580590564
andhra pradesh,karimnagar,1.7234571460888972
andhra pradesh,khammam,0.8569111247096628
andhra pradesh,krishna,1.768177260832038
andhra pradesh,kurnool,0.7510848847225492
andhra pradesh,mahbubnagar,1.3144718898304169
andhra pradesh,medak,2.3487979868920914
andhra pradesh,nalgonda,1.479460396960162
andhra pradesh,nellore,1.024101640329622
andhra pradesh,nizamabad,1.4456596681686793
andhra pradesh,prakasam,0.7913326746102408
andhra pradesh,rangareddi,6.640982907662213
andhra pradesh,srikakulam,0.9833257188431852
andhra pradesh,vishakhapatnam,1.432871878638582
andhra pradesh,vizianagaram,0.8045375723581539
andhra pradesh,warangal,1.2027230365358197
andhra pradesh,west godavari,1.321999026187001
goa,north goa,3.0631101569564616
goa,south goa,1.7859185342535409
gujarat,surat,3.298424915764404
gujarat,the dangs,0.4125061049176577
gujarat,valsad,2.3525492656308717
gujarat,navsari,1.8028410026842343
karnataka,belgaum,1.1976916100096278
karnataka,bellary,1.6572384153023303
karnataka,bidar,1.1814162140775435
karnataka,bijapur,0.9561854100937274
karnataka,chikmagalur,0.6810380447442339
karnataka,dakshin kannad,1.348535391893028
karnataka,dharwad,1.675582804795264
karnataka,gulbarga,0.970240828426915
karnataka,hassan,1.476557564793435
karnataka,kodagu,0.4367109980218519
karnataka,kolar,2.1242668837305385
karnataka,mandya,1.635406963421266
karnataka,mysore,1.774718954070436
karnataka,raichur,1.032364312379647
karnataka,shimoga,0.6907566214276942
karnataka,tumkur,1.3679434748196737
karnataka,uttar kannand,0.5320124459773742
karnataka,bagalkot,1.1662022079997492
karnataka,bangalore rural,3.530981872221439
karnataka,bangalore urban,26.906498720360613
karnataka,chamrajnagar,0.7020942634859757
karnataka,chitradurga,1.188699809961231
karnataka,davanagere,1.3781367654039127
karnataka,gadag,0.965385284156907
karnataka,haveri,1.2887513869479157
karnataka,koppal,1.0695234411901091
karnataka,udupi,0.7506100947116255
kerala,kannur,0.9257198028904547
kerala,ernakulam,4.281979164645311
kerala,idukki,0.4333722104568172
kerala,kasaragod,0.8882818450587538
kerala,kottayam,1.2521136031889202
kerala,kozhikode,1.1117834797924524
kerala,malappuram,1.0913554610353289
kerala,palakkad,1.1662524611650216
kerala,pattanamtitta,0.9020743804504556
kerala,kollam,1.7610750022563246
kerala,thrissur,1.7058784367247424
kerala,thiruvananthapuram,3.1034059212355354
kerala,wayanad,0.4981505323862418
kerala,alappuzha,2.3028691526501865
lakshadweep,kavaratti,0.9181719727911842
maharashtra,akola,1.2759403343339022
maharashtra,amravati,1.0423895610321046
maharashtra,bhandara,0.8370314080865157
maharashtra,buldana,0.9685691262061704
maharashtra,chandrapur,0.9735411807634275
maharashtra,dhule,0.9518117594911718
maharashtra,garhchiroli,0.4612199913846315
maharashtra,jalgaon,1.014946107897769
maharashtra,kolhapur,1.134280177746079
maharashtra,latur,1.074066898840668
maharashtra,nagpur,2.071282850569877
maharashtra,nanded,1.0670396111967648
maharashtra,nashik,1.69814924761815
maharashtra,osmanabad,0.9372476043203468
maharashtra,pune,3.757352112622417
maharashtra,raigarh,3.084240707014001
maharashtra,ratnagiri,0.5562309010104791
maharashtra,sindhudurg,0.4913266317157366
maharashtra,sangli,1.173927866554887
maharashtra,satara,1.0460691809375806
maharashtra,solapur,1.6913699932398678
maharashtra,thane,3.5226371172890856
maharashtra,wardha,1.1256950716579164
maharashtra,yavatmal,0.921560701631852
maharashtra,aurangabad,1.5890230115701491
maharashtra,ahmednagar,1.645625241179877
maharashtra,bid,1.0596673917153607
maharashtra,gondiya,0.7449401164189401
maharashtra,hingoli,0.958700901472508
maharashtra,jalna,1.065797845564751
maharashtra,mumbai suburban,32.885676713929485
maharashtra,mumbai city,55.49039480619581
maharashtra,parbhani,1.0419509811648642
maharashtra,washim,0.8473964179264099
orissa,cuttack,2.272434734578242
